Hour,DHI,Wind speed,Temperature
6,0,2.553499937,15.88267221
7,61,2.155492306,18.12775081
8,104,1.954625845,21.11231917
9,132,2.107171774,23.6753929
10,148,2.18952632,24.99919123
11,156,2.176086664,25.40138098
12,158,2.121572256,25.52223687
13,155,2.007186413,25.3179007
14,240,1.874744177,24.77868864
15,125,1.714936137,24.05174698
16,92,1.637967348,22.30797287
17,20,2.011128426,20.10291892
18,0,2.390963078,19.23751115
19,0,2.614953279,18.36659123
20,0,2.74646759,17.5309814
21,0,2.813191891,16.72593354
22,0,2.858910322,16.02405711
23,0,2.849654675,15.35163709
0,0,2.818055391,14.75768695
1,0,2.801613569,14.20254843
2,0,2.754661798,13.75031216
3,0,2.693267822,13.3364566
